FlushFlashMemory command sent, waiting for new packets
01:33:903	Tue Apr 10 01:01:33 PDT 2012 16 3 41 0 2 2 50 211 99
01:34:09	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 3 50 210 99
01:34:10	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 4 50 210 95
01:34:10	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 5 50 211 96
01:34:10	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 6 50 211 97
01:34:10	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 7 50 211 99
01:34:10	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 8 50 211 95
01:34:10	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 9 50 211 99
01:34:11	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 10 50 211 99
01:34:68	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 11 50 211 102
01:34:69	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 12 50 211 96
01:34:69	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 13 50 211 95
01:34:70	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 14 50 210 103
01:34:70	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 15 50 211 99
01:34:77	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 16 50 211 100
01:34:96	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 17 50 211 96
01:34:209	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 18 50 210 93
01:34:210	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 19 50 210 98
01:34:210	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 20 50 211 99
01:34:210	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 21 50 210 91
01:34:210	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 22 50 211 100
01:34:210	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 23 50 211 100
01:34:210	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 24 50 210 89
01:34:211	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 25 50 211 93
01:34:318	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 26 50 211 97
01:34:318	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 27 50 211 93
01:34:318	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 28 50 210 98
01:34:318	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 29 50 210 92
01:34:318	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 30 50 211 91
01:34:319	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 31 50 210 94
01:34:322	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 32 50 210 97
01:34:322	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 33 50 211 97
01:34:370	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 34 50 210 98
01:34:370	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 35 50 210 90
01:34:370	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 36 50 210 91
01:34:371	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 37 50 210 92
01:34:371	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 38 50 210 92
01:34:384	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 40 50 210 96
01:34:501	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 41 50 211 94
01:34:502	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 42 50 210 88
01:34:502	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 43 50 210 91
01:34:502	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 44 50 210 93
01:34:502	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 45 50 211 98
01:34:502	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 47 50 208 67
01:34:502	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 48 50 210 98
01:34:503	Tue Apr 10 01:01:34 PDT 2012 16 3 41 0 2 49 50 210 95
01:34:609	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 0 50 211 93
01:34:610	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 1 50 210 86
01:34:610	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 2 50 210 94
01:34:610	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 3 50 210 99
01:34:612	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 4 50 211 96
01:34:613	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 5 50 209 78
01:34:613	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 6 50 210 83
01:34:613	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 7 50 210 92
01:34:669	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 8 50 210 97
01:34:669	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 9 50 210 93
01:34:669	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 10 50 210 99
